"Year","Plants","Insects","Birds","Mammals","Fish","Reptiles","Other"
2000,0,0,0,0,0,0,0
2001,11,4,2,11,3,1,0
2002,12,9,7,12,3,1,0
2003,61,11,8,12,5,1,0
2004,65,11,8,13,7,1,0
2005,70,13,13,15,9,1,0
2006,68,18,14,17,15,3,0
2007,70,18,14,17,15,4,1
2008,74,18,14,18,16,4,1
2009,109,37,13,19,19,5,1
2010,110,38,15,20,20,5,2
2011,112,44,17,20,21,8,2
2012,114,44,17,21,21,9,2
2013,59,45,16,19,24,6,2
2014,68,48,23,20,24,10,2
2015,64,51,32,28,25,10,2
2016,77,57,38,34,26,12,2
2017,78,58,38,35,26,12,2
2018,125,60,38,37,28,14,2
2019,143,62,39,33,29,12,10
2020,151,63,40,34,30,12,8
