State,Class,Species_Count
Victoria,Insecta,2799
Victoria,Aves,509
Victoria,Reptilia,98
Victoria,Arachnida,185
Victoria,Actinopterygii,176
Victoria,Mammalia,91
Victoria,Gastropoda,311
Victoria,Malacostraca,96
Victoria,Bivalvia,71
Victoria,Chondrichthyes,22
Victoria,Asteroidea,22
Victoria,Diplopoda,2
Victoria,Amphibia,23
Victoria,Echinoidea,10
Victoria,Polychaeta,2
Victoria,Anthozoa,13
Victoria,Gymnolaemata,3
Victoria,Chilopoda,4
Victoria,Cephalopoda,15
Victoria,Scyphozoa,5
Victoria,Polyplacophora,8
Victoria,Ascidiacea,12
Victoria,Rhabditophora,10
Victoria,Hydrozoa,6
Victoria,Demospongiae,7
Victoria,Maxillopoda,12
Victoria,Rhynchonellata,1
Victoria,Holothuroidea,3
Victoria,Collembola,6
Victoria,Crinoidea,3
Victoria,Oligochaeta,5
Victoria,,4
Victoria,Ophiuroidea,3
Victoria,Calcarea,2
Victoria,Branchiopoda,2
Victoria,Stenolaemata,1
Victoria,Pycnogonida,1
Victoria,Nemertinea,1
Victoria,Bdelloidea,1
South Australia,Actinopterygii,216
South Australia,Aves,494
South Australia,Malacostraca,77
South Australia,Insecta,1220
South Australia,Mammalia,74
South Australia,Gastropoda,213
South Australia,Amphibia,18
South Australia,Bivalvia,85
South Australia,Arachnida,125
South Australia,Chilopoda,6
South Australia,Asteroidea,25
South Australia,Reptilia,145
South Australia,Chondrichthyes,31
South Australia,Diplopoda,1
South Australia,Echinoidea,18
South Australia,Holothuroidea,6
South Australia,Anthozoa,17
South Australia,Gymnolaemata,13
South Australia,Cephalopoda,13
South Australia,Ascidiacea,26
South Australia,Polyplacophora,21
South Australia,Demospongiae,13
South Australia,Ophiuroidea,11
South Australia,Polychaeta,14
South Australia,Scyphozoa,3
South Australia,Enteropneusta,1
South Australia,Maxillopoda,10
South Australia,Crinoidea,4
South Australia,Rhabditophora,3
South Australia,Cubozoa,1
South Australia,Hydrozoa,5
South Australia,Rhynchonellata,3
South Australia,Oligochaeta,1
South Australia,Stenolaemata,1
South Australia,Pycnogonida,2
South Australia,Collembola,1
South Australia,Nemertinea,1
South Australia,Calcarea,1
South Australia,,4
New South Wales,Aves,633
New South Wales,Reptilia,185
New South Wales,Mammalia,154
New South Wales,Insecta,4057
New South Wales,Gastropoda,675
New South Wales,Actinopterygii,582
New South Wales,Anthozoa,36
New South Wales,Malacostraca,139
New South Wales,Amphibia,72
New South Wales,Bivalvia,122
New South Wales,Cephalopoda,16
New South Wales,Arachnida,315
New South Wales,Asteroidea,23
New South Wales,Chondrichthyes,39
New South Wales,Echinoidea,25
New South Wales,Polyplacophora,16
New South Wales,Holothuroidea,12
New South Wales,Chilopoda,12
