Year,TaxonomicGroup,ThreatIndex
1985,Amphibians,1
1985,Birds,1
1985,Mammals,1
1985,Plants,1
1985,All,1
1986,Amphibians,0.91
1986,Birds,0.98
1986,Mammals,1.28
1986,Plants,0.96
1986,All,1.04
1987,Amphibians,0.68
1987,Birds,1.02
1987,Mammals,1.41
1987,Plants,0.91
1987,All,1.02
1988,Amphibians,0.55
1988,Birds,1.04
1988,Mammals,1.3
1988,Plants,0.87
1988,All,0.95
1989,Amphibians,0.46
1989,Birds,1.05
1989,Mammals,1.2
1989,Plants,0.84
1989,All,0.9
1990,Amphibians,0.39
1990,Birds,1.01
1990,Mammals,1.24
1990,Plants,0.82
1990,All,0.87
1991,Amphibians,0.21
1991,Birds,1
1991,Mammals,1.19
1991,Plants,0.83
1991,All,0.76
1992,Amphibians,0.2
1992,Birds,0.99
1992,Mammals,1.16
1992,Plants,0.87
1992,All,0.76
1993,Amphibians,0.19
1993,Birds,0.95
1993,Mammals,1.15
1993,Plants,0.89
1993,All,0.74
1994,Amphibians,0.13
1994,Birds,0.94
1994,Mammals,1.13
1994,Plants,0.94
1994,All,0.71
1995,Amphibians,0.12
1995,Birds,0.94
1995,Mammals,1.09
1995,Plants,0.99
1995,All,0.72
1996,Amphibians,0.1
1996,Birds,0.91
1996,Mammals,0.96
1996,Plants,0.93
1996,All,0.65
1997,Amphibians,0.09
1997,Birds,0.9
1997,Mammals,1.06
1997,Plants,0.95
1997,All,0.66
1998,Amphibians,0.07
1998,Birds,0.9
1998,Mammals,1.11
1998,Plants,0.99
1998,All,0.67
1999,Amphibians,0.08
1999,Birds,0.87
1999,Mammals,1.09
1999,Plants,0.95
1999,All,0.65
2000,Amphibians,0.08
2000,Birds,0.83
2000,Mammals,0.99
2000,Plants,0.97
2000,All,0.63
2001,Amphibians,0.06
2001,Birds,0.8
2001,Mammals,0.86
2001,Plants,0.87
2001,All,0.57
2002,Amphibians,0.05
2002,Birds,0.73
2002,Mammals,0.82
2002,Plants,0.81
2002,All,0.52
2003,Amphibians,0.05
2003,Birds,0.7
2003,Mammals,0.72
2003,Plants,0.83
2003,All,0.5
2004,Amphibians,0.05
2004,Birds,0.67
2004,Mammals,0.68
2004,Plants,0.78
2004,All,0.47
2005,Amphibians,0.05
2005,Birds,0.68
2005,Mammals,0.64
2005,Plants,0.76
2005,All,0.46
2006,Amphibians,0.04
2006,Birds,0.62
2006,Mammals,0.66
2006,Plants,0.67
2006,All,0.43
2007,Amphibians,0.04
2007,Birds,0.61
2007,Mammals,0.7
2007,Plants,0.63
2007,All,0.42
2008,Amphibians,0.04
2008,Birds,0.6
2008,Mammals,0.64
2008,Plants,0.59
2008,All,0.4
2009,Amphibians,0.05
2009,Birds,0.59
2009,Mammals,0.62
2009,Plants,0.56
2009,All,0.4
2010,Amphibians,0.05
2010,Birds,0.57
2010,Mammals,0.64
2010,Plants,0.54
2010,All,0.39
2011,Amphibians,0.05
2011,Birds,0.56
2011,Mammals,0.63
2011,Plants,0.49
2011,All,0.37
2012,Amphibians,0.04
2012,Birds,0.53
2012,Mammals,0.64
2012,Plants,0.45
2012,All,0.35
2013,Amphibians,0.04
2013,Birds,0.5
2013,Mammals,0.63
2013,Plants,0.44
2013,All,0.34
2014,Amphibians,0.03
2014,Birds,0.46
2014,Mammals,0.59
2014,Plants,0.4
2014,All,0.31
2015,Amphibians,0.03
2015,Birds,0.45
2015,Mammals,0.62
2015,Plants,0.38
2015,All,0.31
2016,Amphibians,0.03
2016,Birds,0.46
2016,Mammals,0.61
2016,Plants,0.34
2016,All,0.3
2017,Amphibians,0.03
2017,Birds,0.43
2017,Mammals,0.62
2017,Plants,0.29
2017,All,0.27
2018,Amphibians,0.03
2018,Birds,0.43
2018,Mammals,0.6
2018,Plants,0.3
2018,All,0.27
2019,Amphibians,0.02
2019,Birds,0.4
2019,Mammals,0.59
2019,Plants,0.3
2019,All,0.26
2020,Amphibians,0.03
2020,Birds,0.4
2020,Mammals,0.56
2020,Plants,0.3
2020,All,0.26
2021,Amphibians,0.03
2021,Birds,0.41
2021,Mammals,0.55
2021,Plants,0.32
2021,All,0.27
